,losses,srs,off_rtg,pts_per_g,net_rtg,srs_def,conf_abbr,school_name,sos,srs_off,opp_pts_per_g,def_rtg,wins,mov
232,13,-6.66,101.77,74.3,-8.71,-4.49,OVC,Austin Peay,-8.22,-2.16,70.0,110.48,14,4.33
233,11,-6.70,96.70,70.5,-8.95,-2.51,Big Sky,Northern Colorado,-4.22,-4.19,69.0,105.65,11,1.45
234,11,-6.78,100.88,71.4,-8.67,-2.28,Horizon,Northern Kentucky,-6.90,-4.50,71.2,109.55,14,0.12
235,10,-6.82,100.81,71.0,-7.83,-1.59,Big South,Campbell,-7.34,-5.23,68.1,108.64,17,2.85
236,10,-6.84,102.06,76.3,-8.22,-7.32,CAA,UNC Wilmington,-6.47,0.48,73.7,110.29,7,2.59
237,17,-6.88,92.31,64.2,-9.33,1.11,CUSA (West),Southern Mississippi,-2.10,-7.99,66.7,101.64,8,-2.52
238,10,-6.95,100.93,71.4,-8.87,-6.85,Big West,UC San Diego,0.98,-0.10,72.1,109.80,7,-0.71
239,10,-6.99,98.65,73.4,-9.45,-6.03,Big South,UNC Asheville,-7.59,-0.96,72.8,108.10,10,0.60
240,12,-7.07,99.45,71.2,-8.89,-2.72,A-Sun,Lipscomb,-5.63,-4.35,68.4,108.34,15,2.74
241,13,-7.23,96.69,73.7,-9.14,-4.60,Sun Belt (West),UT Arlington,-4.57,-2.62,70.3,105.83,13,3.42
242,15,-7.26,99.01,71.3,-9.06,-4.09,A-Sun,Stetson,-4.51,-3.17,70.2,108.07,12,1.07
243,10,-7.28,97.14,73.4,-9.01,0.89,WAC,Tarleton State,-3.02,-8.18,62.3,106.15,10,11.05
244,16,-7.43,98.69,75.5,-9.75,-8.33,Southern,Western Carolina,-2.03,0.91,78.9,108.44,11,-3.33
245,11,-7.54,98.34,64.7,-9.50,-0.03,MAAC,Niagara,-6.99,-7.52,65.2,107.84,9,-0.55
