,wins_home,losses,srs,ft,stl,win_loss_pct,pf,wins_visitor,mp,fga,fta,fg3_pct,fg,trb,losses_conf,sos,school_name,fg3,pts,orb,fg_pct,ast,wins_conf,losses_visitor,wins,ft_pct,fg3a,blk,opp_pts,tov,g,losses_home
43,13,14,1.73,432,213,.548,612,3,1245,1756,578,.348,784,1072,9,1.26,Central Florida,222,2222,363,.446,478,7,8,17,.747,638,88,2166,445,31,3
44,8,19,-7.06,388,244,.387,696,3,,1628,615,.336,680,981,9,-4.15,Central Michigan,180,1928,362,.418,306,7,11,12,.631,536,79,2018,447,31,6
45,7,20,-14.07,301,177,.310,516,2,,1721,476,.334,752,1100,14,-5.46,Charleston Southern,195,2000,368,.437,388,4,10,9,.632,583,92,2091,396,29,9
46,9,20,0.79,410,200,.355,578,2,1265,1832,601,.306,752,1095,11,2.47,Charlotte,216,2130,396,.410,422,5,11,11,.682,707,103,2182,406,31,6
47,13,17,-6.25,614,218,.514,648,5,1415,2002,935,.352,877,1374,9,-3.13,Chattanooga,289,2657,438,.438,477,11,10,18,.657,821,79,2687,551,35,3
48,11,13,-5.97,528,321,.594,668,6,1305,2077,773,.347,956,1220,,-4.51,Chicago State,253,2693,461,.460,507,,9,19,.683,730,123,2577,486,32,3
49,14,14,7.83,370,183,.563,588,4,,1869,563,.332,792,1205,10,6.77,Cincinnati,233,2187,457,.424,466,8,7,18,.657,702,103,2123,436,32,5
50,13,9,15.56,427,298,.719,575,7,1285,1971,621,.374,912,1189,7,6.59,Clemson,256,2507,462,.463,478,9,5,23,.688,684,187,2177,456,32,3
51,13,11,6.97,511,320,.703,680,8,1480,2043,729,.311,882,1267,6,2.12,Cleveland State,180,2455,441,.432,512,12,8,26,.701,578,118,2203,454,37,2
52,8,20,-11.74,356,207,.355,525,2,,1770,578,.335,786,1140,13,-6.98,Coastal Carolina,220,2148,386,.444,455,5,13,11,.616,656,95,2193,500,31,6
53,4,20,-13.26,373,135,.333,508,6,1210,1466,556,.317,590,945,9,-6.12,Colgate,148,1701,273,.402,310,5,13,10,.671,467,99,1895,441,30,7
54,12,9,-1.33,453,243,.750,581,11,1445,2150,687,.382,1014,1281,5,-5.87,College of Charleston,300,2781,422,.472,486,15,5,27,.659,785,149,2616,452,36,4
55,8,22,-0.06,429,185,.290,574,0,1255,1486,587,.346,675,855,15,5.04,Colorado,172,1951,201,.454,356,1,10,9,.731,497,50,2091,436,31,9
